name                                                  old time/op            new time/op            delta
ExecutionPaths/prefetch-16-sequential/lease=5m0s-2               1.19k ± 0%             1.18k ± 0%   -0.37%  (p=0.000 n=10+10)
ExecutionPaths/prefetch-100-sequential/lease=5m0s-2              1.05k ± 0%             1.05k ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5m0s-2             1.08k ± 0%             1.08k ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5m0s-2                         3.80k ± 0%             3.80k ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5m0s-2                       1.89k ± 0%             1.89k ± 0%     ~     (p=0.137 n=8+10)
ExecutionPaths/true-batch-1000/lease=5m0s-2                      2.33k ± 0%             2.33k ± 0%     ~     (p=0.135 n=10+9)

name                                                  old allocs/job         new allocs/job         delta
ExecutionPaths/single/lease=1s-2                                  44.0 ± 0%              44.0 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=1s-2                  15.4 ± 0%              15.4 ± 0%   -0.13%  (p=0.000 n=10+10)
ExecutionPaths/prefetch-100-sequential/lease=1s-2                 13.4 ± 0%              13.4 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=1s-2                13.1 ± 0%              13.1 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=1s-2                            52.0 ± 0%              52.0 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=1s-2                          16.0 ± 0%              16.0 ± 0%     ~     (p=1.000 n=10+7)
ExecutionPaths/true-batch-1000/lease=1s-2                         22.7 ± 0%              22.7 ± 0%     ~     (p=0.759 n=10+9)
ExecutionPaths/single/lease=5s-2                                  44.0 ± 0%              44.0 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5s-2                  15.4 ± 0%              15.4 ± 0%   -0.13%  (p=0.000 n=10+8)
ExecutionPaths/prefetch-100-sequential/lease=5s-2                 13.4 ± 0%              13.4 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5s-2                13.1 ± 0%              13.1 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5s-2                            52.0 ± 0%              52.0 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5s-2                          16.0 ± 0%              16.0 ± 0%     ~     (p=0.191 n=10+10)
ExecutionPaths/true-batch-1000/lease=5s-2                         22.7 ± 0%              22.7 ± 0%     ~     (p=0.500 n=10+10)
ExecutionPaths/single/lease=10s-2                                 37.0 ± 0%              37.0 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=10s-2                 14.7 ± 0%              14.7 ± 0%   -0.23%  (p=0.000 n=10+9)
ExecutionPaths/prefetch-100-sequential/lease=10s-2                13.3 ± 0%              13.3 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=10s-2               13.0 ± 0%              13.0 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=10s-2                           45.0 ± 0%              45.0 ± 0%     ~     (p=1.000 n=10+10)
ExecutionPaths/true-batch-100/lease=10s-2                         15.9 ± 0%              15.9 ± 0%     ~     (p=0.143 n=10+10)
ExecutionPaths/true-batch-1000/lease=10s-2                        22.7 ± 0%              22.7 ± 0%     ~     (p=0.086 n=10+10)
ExecutionPaths/single/lease=5m0s-2                                37.0 ± 0%              37.0 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-16-sequential/lease=5m0s-2                14.7 ± 0%              14.7 ± 0%   -0.24%  (p=0.000 n=10+9)
ExecutionPaths/prefetch-100-sequential/lease=5m0s-2               13.3 ± 0%              13.3 ± 0%     ~     (all equal)
ExecutionPaths/prefetch-1000-sequential/lease=5m0s-2              13.0 ± 0%              13.0 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-1/lease=5m0s-2                          45.0 ± 0%              45.0 ± 0%     ~     (all equal)
ExecutionPaths/true-batch-100/lease=5m0s-2                        15.9 ± 0%              15.9 ± 0%     ~     (p=0.157 n=10+9)
ExecutionPaths/true-batch-1000/lease=5m0s-2                       22.7 ± 0%              22.7 ± 0%     ~     (p=0.121 n=10+9)

name                                                  old claims/job         new claims/job         delta
